032026285001000094054000030012026202200010054662000000670500000165016700016000007                      03ITA EMPRESA DE TRANSPORTES LTDA                             00000000000000000000004300120263390330400000000000003          00000000000000000000000000000000000000000000000000000000000020242850056900007         
032026285000500140001600020022026202500010044241000000001658360226416600014000019                      01PREFEITURA MUNIICIPAL DE SANTA BARBARA DE GOIAS             00000000000000000000004200220263190960300000000000001          00000000000000000000000000000000000000000000000000000000000020262850001480099         
032026285000500079001600026012026202500010044241000000003000000226416600014000019                      01PREFEITURA MUNIICIPAL DE SANTA BARBARA DE GOIAS             00000000000000000000004260120263190923100000000000003          00000000000000000000000000000000000000000000000000000000000020262850001480099         
032026285000500078001600026012026202500010044241000000025500000121980700018200019                      01PREFEITURA MUNICIPAL DE URUACU                              00000000000000000000004260120263190923100000000000003          00000000000000000000000000000000000000000000000000000000000020262850001460099         
032026285000500163001600020022026202500010044241000000018834070121980700018200019                      01PREFEITURA MUNICIPAL DE URUACU                              00000000000000000000004200220263190960300000000000001          00000000000000000000000000000000000000000000000000000000000020262850001460099         
032026285000500072001600026012026202500010044241000000016000000106730500018300019                      01PREFEITURA MUNICIPAL DE LEOPOLDO DE BULHOES                 00000000000000000000004260120263190923100000000000003          00000000000000000000000000000000000000000000000000000000000020262850001360099         
032026285000500159001600020022026202500010044241000000006883840106730500018300019                      01PREFEITURA MUNICIPAL DE LEOPOLDO DE BULHOES                 00000000000000000000004200220263190960300000000000001          00000000000000000000000000000000000000000000000000000000000020262850001360099         
032026285002300004054000004022026202400005034164000004343000003736337100014800007                      03AMP - AGENCIA MULTIFACE DE PROPAGANDA LTDA                  00000000000000000000004040220263390393500000000000003          00000000000000000000000000000000000000000000000000000000000020252850029700001         
032026285001000139054000003022026202300010000948000000399487490176525400016300007                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004030220263390300911561020100003          00000000000000000000000000000000000000000000000000000000000020242850029470007         
032026285001000220054000004032026202300010000948000001067518860176525400016300007                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004040320263390300911561020100003          00000000000000000000000000000000000000000000000000000000000020252850019680007         
032026285001000219054000004032026202300010000948000000079605400176525400016300007                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004040320263390300911561020100001          00000000000000000000000000000000000000000000000000000000000020252850019680007         
032026285000500040001600026012026202600010002887000010020526560140958000013800002                      01ESTADO DE GOIAS                                             00000000000000000000004260120263190111300000000000001          00000000000000000000000000000000000000000000000000000000000020262850000760099         
032026285000500111001600020022026202600010002887000005460049230140958000013800002                      01ESTADO DE GOIAS                                             00000000000000000000004200220263190111400000000000001          00000000000000000000000000000000000000000000000000000000000020262850000760099         
032026285011500001056300002022026201200010014715000007000000000140958000013800001                      03ESTADO DE GOIAS                                             00000000000000000000004020220263390470200000000000003          00000000000000000000000000000000000000000000000000000000000020262850003570099         
032026285000500112001600020022026202600010002887000009472086910140958000013800002                      01ESTADO DE GOIAS                                             00000000000000000000004200220263190111300000000000001          00000000000000000000000000000000000000000000000000000000000020262850000760099         
032026285000500084001600026012026202600010002887000000003612000252996400015700001                      01SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004260120263190130300000000000001          00000000000000000000000000000000000000000000000000000000000020262850001010099         
032026285003400013001600020022026202600010002887000000003570000252996400015700020                      01SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004200220263190130300000000000001          00000000000000000000000000000000000000000000000000000000000020262850002200099         
032026285006300007001600020022026202600010002887000000002247000252996400015700020                      01SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004200220263190130300000000000001          00000000000000000000000000000000000000000000000000000000000020262850002200099         
032026285003400014001600020022026202600010002887000000005250000252996400015700020                      01SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004200220263190130300000000000001          00000000000000000000000000000000000000000000000000000000000020262850002200099         
032026285012800006001600020022026202600010002887000000340620000252996400015700019                      01SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004200220263190160600000000000001          00000000000000000000000000000000000000000000000000000000000020262850001040099         
032026285000700008001600020022026202600010002887000000019364300252996400015700018                      03SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004200220263390413100000000000001          00000000000000000000000000000000000000000000000000000000000020262850000830099         
032026285001000226056300012032026202600010016832000000050000000252996400015700010                      03SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004120320263390391800000000000001          00000000000000000000000000000000000000000000000000000000000020262850009390099         
032026285001000229056300012032026202600010016832000000050000000252996400015700010                      03SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004120320263390303411561011700001          00000000000000000000000000000000000000000000000000000000000020262850009390099         
032026285000700004001600026012026202600010002887000000018696480252996400015700018                      03SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004260120263390411900000000000001          00000000000000000000000000000000000000000000000000000000000020262850000830099         
032026285000500046001600026012026202600010002887000000116058440252996400015700018                      01SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004260120263190111900000000000001          00000000000000000000000000000000000000000000000000000000000020262850000830099         
032026285000500002000000016012026202500010000629000000021794790252996400015700016                      01SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004160120263190921000000000000001          00000000000000000000000000000000000000000000000000000000000020262850000050099         
032026285000500003050900022012026202500010096985000000001273990252996400015700017                      01SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004220120263190920700000000000001          00000000000000000000000000000000000000000000000000000000000020262850001580099         
032026285000500021001600026012026202600010002887000000102264850252996400015700017                      01SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004260120263190110200000000000001          00000000000000000000000000000000000000000000000000000000000020262850000730099         
032026285000500036001600026012026202600010002887000000003150000252996400015700019                      01SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004260120263190110600000000000001          00000000000000000000000000000000000000000000000000000000000020262850000740099         
032026285000800002001600026012026202600010002887000000086571730252996400015700018                      03SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004260120263391410300000000000001          00000000000000000000000000000000000000000000000000000000000020262850000830099         
032026285003400004001600026012026202600010002887000000005250000252996400015700001                      01SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004260120263190130300000000000001          00000000000000000000000000000000000000000000000000000000000020262850001000099         
032026285010500001001600026012026202600010002887000000066700000252996400015700001                      01SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004260120263190160600000000000001          00000000000000000000000000000000000000000000000000000000000020262850001010099         
